"","account_id","acct_creation_date","statement_frequency","account_district","num_customers","credit_cards","loan_date","loan_amount","loan_payment","loan_term","loan_status","loan_default","max_withdrawal","min_withdrawal","max_balance","min_balance","credit_bank_transfer_other_txn_ct","credit_bank_transfer_other_txn_tot","credit_bank_transfer_other_avg_txn","credit_cash_other_txn_ct","credit_cash_other_txn_tot","credit_cash_other_avg_txn","credit_other_interest_credit_txn_ct","credit_other_interest_credit_txn_tot","credit_other_interest_credit_avg_txn","debit_bank_transfer_household_payment_txn_ct","debit_bank_transfer_household_payment_txn_tot","debit_bank_transfer_household_payment_avg_txn","debit_cash_statement_charge_txn_ct","debit_cash_statement_charge_txn_tot","debit_cash_statement_charge_avg_txn","debit_cash_other_txn_ct","debit_cash_other_txn_tot","debit_cash_other_avg_txn","debit_bank_transfer_loan_payment_txn_ct","debit_bank_transfer_loan_payment_txn_tot","debit_bank_transfer_loan_payment_avg_txn","debit_bank_transfer_insurance_payment_txn_ct","debit_bank_transfer_insurance_payment_txn_tot","debit_bank_transfer_insurance_payment_avg_txn","debit_bank_transfer_other_txn_ct","debit_bank_transfer_other_txn_tot","debit_bank_transfer_other_avg_txn","credit_bank_transfer_pension_benefit_txn_ct","credit_bank_transfer_pension_benefit_txn_tot","credit_bank_transfer_pension_benefit_avg_txn","debit_credit_card_other_txn_ct","debit_credit_card_other_txn_tot","debit_credit_card_other_avg_txn","debit_cash_household_payment_txn_ct","debit_cash_household_payment_txn_tot","debit_cash_household_payment_avg_txn","debit_cash_negative_balance_charge_txn_ct","debit_cash_negative_balance_charge_txn_tot","debit_cash_negative_balance_charge_avg_txn","debit_cash_insurance_payment_txn_ct","debit_cash_insurance_payment_txn_tot","debit_cash_insurance_payment_avg_txn","pmt_order_ct","pmt_order_avg_amt","owner_client_id","gender","birth_date","owner_district"
"195",226,"1997-02-23","monthly","Karvina",1,1,"1998-07-12",109344,9112,12,"current",FALSE,23400,15,80433,1000,0,0,0,33,484714,14688.303030303,22,4085,185.681818181818,18,160704,8928,17,255,15,27,214200,7933.33333333333,6,54672,9112,0,0,0,0,0,0,0,0,0,6,14500,2416.66666666667,0,0,0,0,0,0,0,0,0,2,9020,272,"F","1944-10-25","Karvina"
"238",276,"1997-12-08","monthly","Louny",1,1,"1998-12-02",160920,4470,36,"current",FALSE,24800,15,74906,700,13,388932,29917.8461538462,1,700,700,13,3022,232.461538461538,8,41696,5212,8,120,15,20,283393,14169.65,1,4471,4471,0,0,0,0,0,0,0,0,0,1,3600,3600,0,0,0,0,0,0,0,0,0,2,4841.25,333,"M","1971-10-19","Louny"
"251",290,"1993-12-02","monthly","Breclav",1,1,"1994-11-03",123696,2577,48,"expired",FALSE,60000,15,144053,300,0,0,0,100,2092453,20924.53,60,12334,205.566666666667,56,148568,2653,55,825,15,116,1611159,13889.3017241379,48,123696,2577,0,0,0,56,183344,3274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2834.66666666667,352,"M","1940-08-27","Breclav"
"264",303,"1996-07-25","monthly","Novy Jicin",1,1,"1998-05-30",112752,3132,36,"current",FALSE,35360,15,72230,900,0,0,0,33,504360,15283.6363636364,29,5349,184.448275862069,25,95075,3803,24,360,15,56,344000,6142.85714285714,7,21924,3132,0,0,0,0,0,0,0,0,0,2,5900,2950,0,0,0,0,0,0,0,0,0,2,3467.5,370,"F","1956-01-05","Novy Jicin"
"270",309,"1997-04-25","monthly","Ceske Budejovice",1,1,"1998-11-25",91248,1901,48,"current",FALSE,25400,15,59726,900,0,0,0,22,426020,19364.5454545455,20,2294,114.7,0,0,0,15,225,15,50,401980,8039.6,1,1901,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1901,376,"F","1973-01-08","Ceske Budejovice"
"288",330,"1996-11-24","monthly","Havlickuv Brod",2,2,"1998-07-12",331584,6908,48,"current",FALSE,27040,15,73943,400,0,0,0,26,616210,23700.3846153846,25,3998,159.92,0,0,0,20,300,15,53,551740,10410.1886792453,6,41448,6908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6908,403,"F","1973-05-26","Havlickuv Brod"
"301",344,"1993-12-01","monthly","Brno - mesto",1,1,"1994-12-21",100980,1683,60,"current",FALSE,23100,15,64600,600,0,0,0,67,939342,14020.0298507463,61,9691,158.868852459016,57,270123,4739,56,840,15,110,540700,4915.45454545455,48,80784,1683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3211,421,"M","1965-07-31","Brno - mesto"
"304",347,"1993-12-13","monthly","Znojmo",1,1,"1995-05-01",187224,7801,24,"expired",TRUE,51900,0,142312,-2763,0,0,0,89,1990266,22362.5393258427,61,10469,171.622950819672,0,0,0,55,825,15,144,1772483,12308.9097222222,22,171622,7801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,59,7.375,0,0,0,1,7801.2,NA,"","",""
"306",349,"1997-06-08","monthly","Olomouc",2,2,"1998-09-09",42816,3568,12,"current",FALSE,8400,15,31617,1100,0,0,0,32,177709,5553.40625,19,1432,75.3684210526316,14,65240,4660,14,210,15,24,82740,3447.5,4,14272,3568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4114,426,"M","1937-06-01","Olomouc"
"333",378,"1996-07-22","monthly","Frydek - Mistek",1,1,"1997-10-11",230400,3840,60,"current",FALSE,63900,2,145352,15100,0,0,0,73,1974944,27054.0273972603,30,7988,266.266666666667,28,239036,8537,28,420,15,86,1613600,18762.7906976744,15,57600,3840,28,56,2,56,33264,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2713.44,458,"M","1961-07-24","Frydek - Mistek"
"376",426,"1993-11-29","monthly","Hl.m. Praha",1,1,"1994-07-19",252060,4201,60,"current",TRUE,41700,4,110028,-821,0,0,0,89,1560877,17537.9438202247,61,7358,120.622950819672,56,419832,7497,58,870,15,69,852869,12360.4202898551,51,214251,4201,0,0,0,58,51388,886,0,0,0,0,0,0,0,0,0,2,10,5,0,0,0,3,4194.73333333333,NA,"","",""
"390",440,"1996-12-22","monthly","Rokycany",1,1,"1998-03-13",84288,1756,48,"current",FALSE,18700,15,73640,500,0,0,0,28,435440,15551.4285714286,24,3395,141.458333333333,19,110675,5825,19,285,15,48,252100,5252.08333333333,9,15804,1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3790.5,530,"F","1957-09-27","Rokycany"
"391",442,"1997-03-30","monthly","Brno - mesto",1,1,"1997-07-10",357840,7455,48,"current",TRUE,47600,1,94705,-543,0,0,0,18,427443,23746.8333333333,17,2040,120,7,39242,5606,7,105,15,16,269100,16818.75,7,52185,7455,0,0,0,7,14476,2068,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,5043,533,"F","1941-05-19","Brno - mesto"
"418",472,"1996-10-11","monthly","Mlada Boleslav",1,1,"1997-04-28",196800,8200,24,"current",TRUE,78300,5,130885,-2756,26,1402231,53931.9615384615,2,2400,1200,26,6246,240.230769230769,0,0,0,21,315,15,63,1224005,19428.6507936508,19,155800,8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,5.5,0,0,0,1,8200.2,568,"F","1960-07-19","Mlada Boleslav"
"443",501,"1995-10-21","monthly","Rakovnik",1,1,"1996-10-24",262980,4383,60,"current",FALSE,57800,15,151036,900,0,0,0,57,1332338,23374.350877193,38,9023,237.447368421053,0,0,0,36,540,15,76,1145110,15067.2368421053,26,113958,4383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4382.7,603,"F","1966-03-09","Rakovnik"
"466",525,"1996-03-20","monthly","Karvina",1,1,"1997-07-16",210384,4383,48,"current",FALSE,46900,15,158444,300,0,0,0,45,948801,21084.4666666667,32,5825,182.03125,23,148442,6454,23,345,15,48,632616,13179.5,17,74511,4383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5418.35,631,"F","1956-03-22","Karvina"
"483",544,"1995-05-15","monthly","Ceska Lipa",1,1,"1996-08-22",91152,3798,24,"expired",FALSE,47400,15,111236,400,43,1071087,24909,13,71000,5461.53846153846,43,9420,219.06976744186,0,0,0,38,570,15,89,940257,10564.6853932584,24,91152,3798,0,0,0,0,0,0,0,0,0,4,8300,2075,0,0,0,0,0,0,0,0,0,1,3798.2,655,"M","1942-12-10","Ceska Lipa"
"595",666,"1996-03-15","monthly","Plzen - jih",2,NA,"1997-11-28",12540,1045,12,"expired",FALSE,20160,15,85808,200,0,0,0,45,570288,12673.0666666667,33,6742,204.30303030303,28,110208,3936,28,420,15,55,243300,4423.63636363636,12,12540,1045,28,26740,955,28,63896,2282,0,0,0,19,38800,2042.10526315789,0,0,0,0,0,0,0,0,0,4,2054.5,798,"F","1940-02-12","Plzen - jih"
"601",675,"1995-08-03","monthly","Jihlava",2,NA,"1997-04-01",102240,1704,60,"current",FALSE,14560,15,69589,900,0,0,0,65,520741,8011.4,41,6716,163.80487804878,36,228888,6358,36,540,15,60,185900,3098.33333333333,21,35784,1704,0,0,0,0,0,0,0,0,0,4,9400,2350,0,0,0,0,0,0,0,0,0,2,4031,810,"F","1945-09-24","Jihlava"
"641",718,"1996-03-03","monthly","Hl.m. Praha",1,NA,"1997-08-20",76944,6412,12,"expired",FALSE,62400,15,134873,500,0,0,0,59,1407255,23851.7796610169,31,5761,185.838709677419,27,19602,726,26,390,15,70,914657,13066.5285714286,12,76944,6412,27,163107,6041,26,185172,7122,0,0,0,3,9500,3166.66666666667,0,0,0,0,0,0,0,0,0,4,5075.25,861,"F","1956-09-13","Hl.m. Praha"
"706",789,"1995-02-06","monthly","Most",2,1,"1995-11-23",73056,1522,48,"current",FALSE,7100,15,33555,500,0,0,0,53,303992,5735.69811320755,47,3620,77.0212765957447,42,90426,2153,42,630,15,31,70580,2276.77419354839,37,56314,1522,0,0,0,42,68922,1641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1772,944,"M","1970-12-18","Most"
"707",790,"1993-05-11","monthly","Brno - mesto",1,1,"1994-07-24",208128,4336,48,"expired",TRUE,58100,15,147308,-1070,0,0,0,91,1887874,20745.8681318681,67,11398,170.119402985075,0,0,0,61,915,15,130,1657563,12750.4846153846,41,177776,4336,0,0,0,0,0,0,0,0,0,16,34000,2125,0,0,0,0,0,0,0,0,0,1,4335.8,946,"M","1951-08-06","Brno - mesto"
"724",808,"1995-06-13","monthly","Jesenik",1,NA,"1996-04-11",215616,4492,48,"current",TRUE,18700,6,50125,-4385,0,0,0,44,703210,15982.0454545455,84,5791,68.9404761904762,0,0,0,37,555,15,43,186580,4339.06976744186,31,139260,4492.25806451613,0,0,0,0,0,0,0,0,0,0,0,0,37,352400,9524.32432432433,10,110,11,0,0,0,1,4492,968,"M","1957-02-17","Jesenik"
"728",813,"1993-02-10","monthly","Jindrichuv Hradec",1,NA,"1994-05-11",24312,2026,12,"expired",FALSE,24322,15,61338,1100,71,935858,13181.0985915493,13,32400,2492.30769230769,71,10570,148.87323943662,0,0,0,66,990,15,159,918252,5775.16981132075,12,24312,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025.7,976,"F","1955-11-19","Jindrichuv Hradec"
"731",816,"1993-08-05","monthly","Usti nad Orlici",1,NA,"1995-01-08",48624,2026,24,"expired",FALSE,60200,15,153641,200,0,0,0,118,2808368,23799.7288135593,65,17484,268.984615384615,59,266326,4514,59,885,15,168,2409089,14339.8154761905,24,48624,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3269.85,NA,"","",""
"732",817,"1994-03-18","monthly","Kolin",1,NA,"1995-02-17",538500,8975,60,"current",FALSE,23800,15,69776,200,0,0,0,58,1326256,22866.4827586207,57,6678,117.157894736842,53,244065,4605,52,780,15,95,632100,6653.68421052632,46,412850,8975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6790,981,"M","1960-06-28","Kolin"
"739",825,"1996-03-06","monthly","Prachatice",1,NA,"1997-02-02",53076,4423,12,"expired",FALSE,14700,15,65122,500,0,0,0,48,618886,12893.4583333333,34,5159,151.735294117647,29,267815,9235,29,435,15,64,255480,3991.875,12,53076,4423,0,0,0,0,0,0,0,0,0,2,5500,2750,0,0,0,0,0,0,0,0,0,2,6829,992,"M","1948-05-21","Prachatice"
"759",846,"1996-03-09","monthly","Olomouc",1,NA,"1996-07-28",187104,7796,24,"expired",FALSE,58600,15,148870,300,0,0,0,64,1473360,23021.25,34,8045,236.617647058824,0,0,0,31,465,15,75,1176551,15687.3466666667,24,187104,7796,0,0,0,0,0,0,0,0,0,1,3300,3300,0,0,0,0,0,0,0,0,0,1,7795.5,1020,"F","1977-05-10","Olomouc"
"767",854,"1993-09-21","monthly","Uherske Hradiste",1,NA,"1995-05-30",87216,1817,48,"current",FALSE,15000,15,52046,700,0,0,0,66,722948,10953.7575757576,63,6583,104.492063492063,59,22538,382,58,870,15,105,351600,3348.57142857143,43,78131,1817,59,167737,2843,58,64090,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1536.75,NA,"","",""
"785",873,"1997-04-26","monthly","Opava",1,NA,"1998-02-24",178500,2975,60,"current",FALSE,7100,15,39316,1000,0,0,0,33,182968,5544.48484848485,20,1507,75.35,16,14048,878,15,225,15,26,70840,2724.61538461538,10,29750,2975,15,33165,2211,15,23100,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1901,1051,"F","1971-08-26","Opava"
"825",915,"1995-01-18","monthly","Olomouc",1,1,"1995-09-16",309552,6449,48,"current",FALSE,50600,15,121713,700,47,1973394,41987.1063829787,7,29000,4142.85714285714,47,9142,194.510638297872,43,614513,14291,42,630,15,105,1063569,10129.2285714286,39,251511,6449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10370,1102,"M","1935-01-29","Olomouc"
"848",938,"1997-12-13","monthly","Karvina",1,NA,"1998-05-21",22260,371,60,"current",FALSE,5640,15,37570,700,0,0,0,19,84300,4436.84210526316,12,1499,124.916666666667,7,22974,3282,7,105,15,11,30400,2763.63636363636,7,2597,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1826.5,1130,"F","1940-11-26","Karvina"
"850",940,"1994-11-15","monthly","Litomerice",2,1,"1996-05-29",284280,4738,60,"current",FALSE,63200,15,136560,300,49,2024284,41311.9183673469,8,31800,3975,49,14454,294.979591836735,0,0,0,44,660,15,112,1803675,16104.2410714286,31,146878,4738,0,0,0,0,0,0,0,0,0,4,10200,2550,0,0,0,0,0,0,0,0,0,1,4738,1133,"F","1958-09-15","Litomerice"
"900",993,"1996-11-14","monthly","Kutna Hora",1,NA,"1998-07-01",108720,1812,60,"current",FALSE,51300,15,123602,1000,0,0,0,26,640160,24621.5384615385,25,6170,246.8,0,0,0,10,150,15,37,529099,14299.972972973,6,10872,1812,0,0,0,0,0,0,0,0,0,1,1800,1800,0,0,0,0,0,0,0,0,0,1,1812.3,1197,"F","1966-10-02","Kutna Hora"
"909",1004,"1996-07-02","monthly","Karvina",1,NA,"1998-04-11",188532,5237,36,"current",FALSE,62100,15,143846,200,0,0,0,57,1566752,27486.8771929825,28,6649,237.464285714286,0,0,0,24,360,15,92,1449368,15754,9,47133,5237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5237,1208,"F","1975-09-01","Karvina"
"914",1011,"1994-12-17","monthly","Jicin",1,NA,"1995-12-18",204000,3400,60,"current",FALSE,22588,15,99044,400,48,1060952,22103.1666666667,10,42400,4240,48,10994,229.041666666667,44,311740,7085,43,645,15,94,622968,6627.31914893617,36,122436,3401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5242.75,1215,"M","1944-05-06","Jicin"
"915",1012,"1994-07-09","monthly","Znojmo",1,1,"1994-10-28",98184,4091,24,"expired",FALSE,24723,1,78911,500,54,1435887,26590.5,17,115500,6794.11764705882,108,16386,151.722222222222,0,0,0,49,735,15,161,1437790,8930.37267080745,21,85911,4091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1.5,0,0,0,1,4090.8,1216,"F","1945-06-12","Znojmo"
"964",1068,"1997-02-15","monthly","Usti nad Orlici",1,NA,"1998-09-24",253200,4220,60,"current",FALSE,34800,15,96491,1000,0,0,0,27,445411,16496.7037037037,22,3298,149.909090909091,18,85266,4737,17,255,15,35,250129,7146.54285714286,3,12660,4220,18,11376,632,18,58914,3273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3215.375,1282,"M","1936-11-27","Usti nad Orlici"
"978",1083,"1996-12-06","monthly","Jicin",1,NA,"1998-04-16",50976,1416,36,"current",FALSE,22240,15,48736,400,0,0,0,34,344380,10128.8235294118,25,2751,110.04,20,38600,1930,20,300,15,43,166220,3865.58139534884,8,11328,1416,21,91371,4351,21,17535,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2133,1300,"M","1979-10-27","Jicin"
"987",1093,"1996-01-14","monthly","Brno - mesto",1,NA,"1997-06-13",385104,8023,48,"current",FALSE,42800,15,121007,1000,35,1829209,52263.1142857143,1,1000,1000,35,6345,181.285714285714,31,318091,10261,30,450,15,93,1333898,14342.9892473118,18,144414,8023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9141.9,1311,"F","1956-12-18","Brno - mesto"
"1046",1166,"1993-04-21","monthly","Praha - zapad",1,NA,"1994-02-07",149040,3105,48,"expired",FALSE,23700,15,64577,200,68,1378688,20274.8235294118,5,9400,1880,68,9672,142.235294117647,64,281408,4397,63,945,15,131,923742,7051.46564885496,48,149040,3105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3751.1,1404,"F","1968-12-20","Praha - zapad"
"1117",1244,"1996-05-08","monthly","Frydek - Mistek",1,NA,"1997-02-28",35904,748,48,"current",FALSE,8200,15,34279,900,0,0,0,43,200452,4661.67441860465,31,2296,74.0645161290323,27,24381,903,26,390,15,26,75500,2903.84615384615,22,16456,748,26,10556,406,53,56630,1068.49056603774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,846.6,1501,"M","1946-01-22","Frydek - Mistek"
"1120",1247,"1993-06-08","monthly","Klatovy",1,NA,"1995-03-16",99696,2077,48,"current",TRUE,63600,0,146738,-975,0,0,0,107,2474639,23127.4672897196,60,12877,214.616666666667,0,0,0,57,855,15,162,2298044,14185.4567901235,42,87234,2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2077,NA,"","",""
"1123",1250,"1996-03-28","monthly","Uherske Hradiste",1,NA,"1996-11-25",182640,3805,48,"current",FALSE,23900,15,64412,600,33,821913,24906.4545454545,2,1500,750,33,3568,108.121212121212,28,1708,61,28,420,15,43,420085,9769.41860465116,25,95125,3805,0,0,0,29,292001,10069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4645.06666666667,1509,"F","1942-04-19","Uherske Hradiste"
"1127",1256,"1994-04-21","monthly","Louny",1,NA,"1995-05-29",71064,1974,36,"expired",FALSE,21000,15,55373,700,0,0,0,61,942792,15455.606557377,56,7046,125.821428571429,52,61256,1178,51,765,15,101,494460,4895.64356435644,36,71064,1974,0,0,0,52,283400,5450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2867.33333333333,1516,"F","1946-10-17","Louny"
"1148",1284,"1997-07-02","monthly","Brno - venkov",1,NA,"1998-12-05",52512,4376,12,"current",FALSE,43000,15,120420,1000,0,0,0,25,560929,22437.16,14,3133,223.785714285714,0,0,0,11,165,15,40,529171,13229.275,1,4376,4376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4375.5,1554,"M","1944-12-15","Brno - venkov"
"1179",1318,"1997-12-22","monthly","Breclav",1,NA,"1998-10-11",185544,5154,36,"current",FALSE,25400,15,70888,200,0,0,0,16,205048,12815.5,10,1114,111.4,4,34708,8677,4,60,15,9,108806,12089.5555555556,2,10308,5154,4,8060,2015,8,10024,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3670.4,1594,"M","1939-09-29","Breclav"
"1189",1329,"1996-09-16","monthly","Blansko",2,NA,"1997-09-06",23520,1960,12,"expired",FALSE,11200,15,44667,500,27,346952,12850.0740740741,5,19600,3920,27,2172,80.4444444444444,23,77464,3368,22,330,15,36,124472,3457.55555555556,12,23520,1960,0,0,0,23,116863,5081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3469.73333333333,1608,"M","1941-11-11","Blansko"
"1230",1374,"1996-09-26","monthly","Blansko",1,NA,"1997-09-15",389136,8107,48,"current",FALSE,61300,15,126404,700,27,1434998,53148.0740740741,2,4000,2000,27,5613,207.888888888889,0,0,0,22,330,15,73,1285433,17608.6712328767,15,121605,8107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8107.3,1662,"M","1967-09-07","Blansko"
"1231",1375,"1994-04-27","monthly","Prachatice",1,NA,"1995-08-29",45336,1889,24,"expired",FALSE,22000,15,93209,800,0,0,0,60,1245446,20757.4333333333,56,11227,200.482142857143,52,308360,5930,51,765,15,115,817400,7107.82608695652,24,45336,1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3909.5,1663,"M","1957-04-29","Prachatice"
